,Cocktail Name,Cocktail_tags,Ingredients,Preparation,Alcoholic?,Category
20,Adam,"Alcoholic,Holiday","1 tsp Grenadine, 1 oz Lemon juice, 2 oz Dark rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Alcoholic,Ordinary Drink
21,AT&T,,"4 oz Tonic water, 1 oz Gin, 1 oz Absolut Vodka, ","Pour Vodka and Gin over ice, add Tonic and Stir",Alcoholic,Ordinary Drink
22,A. J.,,"1 oz Grapefruit juice, 1 1/2 oz Applejack, ","Shake ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
23,Affair,,"NoneClub soda, 2 oz Cranberry juice, 2 oz Orange juice, 2 oz Strawberry schnapps, ","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Alcoholic,Ordinary Drink
24,Apello,,"1 Maraschino cherry, 1 cl Apple juice, 3 cl Grapefruit juice, 4 cl Orange juice, ",Stirr. Grnish with maraschino cherry.,Non alcoholic,Other / Unknown
25,Avalon,,"NoneLemonade, 1 1/2 part Lemon juice, 6 parts Apple juice, 1 part Pisang Ambon, 3 partsVodka, ","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Alcoholic,Ordinary Drink
26,Abilene,,"3 oz Orange juice, 2 oz Peach nectar, 1 1/2 oz Dark rum, ",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Alcoholic,Ordinary Drink
27,Addison,,"1 1/2 shot Vermouth, 1 1/2 shot Gin, ",Shake together all the ingredients and strain into a cold glass.,Alcoholic,Cocktail
28,Almeria,,"1 Egg white, 1 oz Kahlua, 2 oz Dark rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Alcoholic,Ordinary Drink
29,Acapulco,,"1 Mint, 1 Egg white, 1 tsp Sugar, 1 tblsp Lime juice, 1 1/2 tsp Triple sec, 1 1/2 oz Light rum, ",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Alcoholic,Ordinary Drink
30,Affinity,,"2 dashes Orange bitters, 1 oz Dry Vermouth, 1 oz Sweet Vermouth, 1 1/2 oz Scotch, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Alcoholic,Ordinary Drink
31,Applecar,,"1 oz Lemon juice, 1 oz Triple sec, 1 oz Applejack, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
32,Aviation,"IBA,Classic","1.5 clmaraschino liqueur, 1.5 cllemon juice, 4.5 clGin, ",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Alcoholic,Cocktail
33,Adam Bomb,,"NoneFruit juice, 1-3 pint Salt, NoneIce, NoneFruit, 1/2 part Triple sec, 1 part Tequila, 1 part Vodka, 1 part Rum, ","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Alcoholic,Punch / Party Drink
34,Addington,,"Top up with
Soda Water, 1 shot Dry Vermouth, 2 shots Sweet Vermouth, ",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,Alcoholic,Cocktail
35,After sex,,"NoneOrange juice, 1 cl Creme de Banane, 2 cl Vodka, ",Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,Alcoholic,Ordinary Drink
36,Afterglow,,"4 parts Pineapple juice, 4 parts Orange juice, 1 part Grenadine, ",Mix. Serve over ice.,Non alcoholic,Cocktail
37,Afternoon,,"NoneCream, 4 cl hot Coffee, 1 1/2 Frangelico, 1 cl Baileys irish cream, 1 cl Kahlua, ","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",Alcoholic,Coffee / Tea
38,Alexander,"IBA,Classic,Dairy","NoneNutmeg, 2 oz Light cream, 1/2 oz white Creme de Cacao, 1/2 oz Gin, ",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Alcoholic,Ordinary Drink
39,Algonquin,,"1 oz Pineapple juice, 1 oz Dry Vermouth, 1 1/2 oz Blended whiskey, ","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
40,Allegheny,,"1 twist of Lemon peel, 1 1/2 tsp Lemon juice, 1 1/2 tsp Blackberry brandy, 1 oz Bourbon, 1 oz Dry Vermouth, ",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Alcoholic,Ordinary Drink
41,B-52,"IBA,NewEra","1/4 Kahlua, 1/3 Grand Marnier, 1/3 Baileys irish cream, ",Layer ingredients into a shot glass. Serve with a stirrer.,Alcoholic,Shot
42,B-53,,"1/3 shot Grand Marnier, 1/3 shot Sambuca, 1/3 shot Kahlua, ","Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",Alcoholic,Shot
